4.228710	4.228710	C
\	2031.294678	2031.294678
7.284752	7.284752	C
\	2196.437744	2196.437744
8.706167	8.706167	C
\	2341.659668	2341.659668
11.620068	11.620068	C
\	2004.701050	2004.701050
18.549466	18.549466	C
\	2112.654053	2112.654053
20.823730	20.823730	C
\	1752.598022	1752.598022
25.052440	25.052440	C
\	1752.598022	1752.598022
27.895270	27.895270	C
\	1705.070679	1705.070679
29.849715	29.849715	C
\	1705.070679	1705.070679
31.271130	31.271130	C
\	1480.896240	1480.896240
32.443798	32.443798	C
\	1417.810669	1417.810669
36.636972	36.636972	C
\	1356.550293	1356.550293
39.515337	39.515337	C
\	1875.566650	1875.566650
40.759076	40.759076	
\	1900.890747	1900.890747
43.779583	43.779583	
\	1752.598022	1752.598022
45.449745	45.449745	
\	1658.464233	1658.464233
53.374134	53.374134	C
\	974.573853	974.573853
54.973226	54.973226	
\	1183.197021	1183.197021
57.887127	57.887127	C
\	2282.717529	2282.717529
61.049775	61.049775	
\	2557.284180	2557.284180
62.471190	62.471190	C
\	2754.231201	2754.231201
65.242949	65.242949	C
\	3222.762451	3222.762451
68.050244	68.050244	C
\	2196.437744	2196.437744
69.116305	69.116305	C
\	2004.701050	2004.701050
76.436593	76.436593	CC
\	1336.526245	1336.526245
79.990130	79.990130	C
\	1183.197021	1183.197021
83.401526	83.401526	C
\	1397.190308	1397.190308
85.817932	85.817932	C
\	1258.361450	1258.361450
88.305408	88.305408	C
\	974.573853	974.573853
90.970561	90.970561	C
\	926.134521	926.134521
93.458037	93.458037	C
\	803.703491	803.703491
98.397455	98.397455	C
\	848.495911	848.495911
100.884931	100.884931	C
\	774.563965	774.563965
103.692225	103.692225	C
\	443.358032	443.358032
106.677197	106.677197	C
\	399.474335	399.474335
110.230735	110.230735	C
\	336.786652	336.786652
115.596576	115.596576	C
\	1523.993774	1523.993774
117.231204	117.231204	C
\	1438.633545	1438.633545
118.297265	118.297265	C
\	1523.993774	1523.993774
122.064015	122.064015	C
\	1376.770874	1376.770874
129.100019	129.100019	C
\	926.134521	926.134521
131.338748	131.338748	C
\	717.968201	717.968201
134.394790	134.394790	C
\	676.951599	676.951599
138.374752	138.374752	C
\	454.599854	454.599854
140.364733	140.364733	C
\	465.952423	465.952423
142.177037	142.177037	C
\	500.683868	500.683868
143.633987	143.633987	C
\	357.275024	357.275024
